transaction_id,transaction_time,transaction_amount,merchant_category,location,card_type,transaction_type,device_type,is_international,previous_fraud,fraud_label,fraud_prediction,fraud_probability
TXN-000023,2026-02-12T05:06:41.729Z,299.48,Clothing,Chicago,Discover,In-Store,Mobile App,true,false,0,,
TXN-000024,2026-02-20T15:24:32.729Z,250.46,Electronics,Atlanta,Amex,ATM,Web Browser,false,false,0,,
TXN-000025,2026-02-16T16:24:27.729Z,443.43,Restaurant,Denver,Visa,In-Store,Web Browser,false,false,0,,
TXN-000026,2026-02-22T01:34:36.729Z,448.49,ATM Withdrawal,Lagos,Mastercard,Contactless,ATM Machine,false,false,0,,
TXN-000027,2026-03-03T05:39:48.729Z,502.61,Travel,Seattle,Discover,Online,Web Browser,false,false,0,,
TXN-000028,2026-02-01T08:38:11.729Z,175.34,Healthcare,New York,Amex,Online,Mobile App,false,false,0,,
TXN-000029,2026-01-13T11:53:42.729Z,398.16,Clothing,Boston,Amex,Contactless,ATM Machine,false,false,0,,
TXN-000030,2026-01-10T10:59:49.729Z,416.57,Travel,Boston,Amex,In-Store,POS Terminal,true,false,0,,
TXN-000031,2026-02-02T13:18:04.729Z,331.25,Grocery,Miami,Discover,Contactless,Web Browser,false,false,0,,
TXN-000032,2026-03-05T02:54:07.729Z,74.63,Electronics,Denver,Mastercard,In-Store,Web Browser,false,false,0,,
TXN-000033,2025-12-15T16:26:01.729Z,376.51,Entertainment,San Francisco,Mastercard,Contactless,ATM Machine,false,false,0,,
TXN-000034,2026-01-06T11:54:55.729Z,297.01,Clothing,New York,Visa,Online,Web Browser,false,false,0,,
TXN-000035,2025-12-13T06:58:29.729Z,99.45,Travel,Tokyo,Discover,Online,POS Terminal,true,false,0,,
TXN-000036,2025-12-19T02:48:36.729Z,209.69,ATM Withdrawal,Tokyo,Visa,Online,POS Terminal,false,false,0,,
TXN-000037,2026-01-08T08:55:48.729Z,240.46,Online Shopping,Tokyo,Amex,Online,POS Terminal,true,false,0,,
TXN-000038,2025-12-24T14:12:53.729Z,151.91,Online Shopping,San Francisco,Discover,ATM,ATM Machine,false,true,0,,
TXN-000039,2025-12-16T15:45:42.729Z,99.84,Electronics,Tokyo,Mastercard,Contactless,POS Terminal,false,false,0,,
TXN-000040,2026-02-15T04:58:07.729Z,388.49,Restaurant,Tokyo,Discover,ATM,ATM Machine,false,false,0,,
TXN-000041,2026-01-25T04:27:42.729Z,13.9,Electronics,Atlanta,Mastercard,In-Store,POS Terminal,true,false,0,,
TXN-000042,2026-03-07T08:18:50.729Z,57.98,Travel,Los Angeles,Discover,ATM,ATM Machine,false,false,0,,
TXN-000043,2026-02-03T10:25:21.729Z,356.85,Clothing,Lagos,Mastercard,ATM,POS Terminal,true,false,0,,
TXN-000044,2026-02-09T06:29:55.729Z,451.52,ATM Withdrawal,San Francisco,Mastercard,Contactless,POS Terminal,false,false,0,,
TXN-000045,2026-01-05T14:13:36.729Z,159.23,Gas Station,Dubai,Amex,Online,Mobile App,false,false,0,,
TXN-000046,2026-01-30T07:20:41.729Z,158.47,Healthcare,Lagos,Discover,Online,POS Terminal,false,false,0,,
TXN-000047,2026-01-24T05:50:01.729Z,157.67,Gas Station,Denver,Discover,Online,Mobile App,true,false,0,,
TXN-000048,2026-01-17T08:16:12.729Z,115.03,Entertainment,San Francisco,Visa,Online,Web Browser,false,false,0,,
TXN-000049,2026-03-03T14:35:16.729Z,160.15,Restaurant,Tokyo,Amex,Contactless,POS Terminal,false,false,0,,
TXN-000050,2026-01-26T05:04:26.729Z,181.66,Clothing,London,Visa,ATM,Mobile App,false,false,0,,
TXN-000051,2026-02-20T21:01:37.729Z,40.39,Electronics,Denver,Mastercard,ATM,Web Browser,false,true,1,,
TXN-000052,2026-01-07T06:46:58.729Z,177.17,Restaurant,San Francisco,Discover,Contactless,POS Terminal,false,false,0,,
TXN-000053,2026-01-28T04:52:21.729Z,300,Travel,Seattle,Mastercard,ATM,ATM Machine,false,false,0,,
TXN-000054,2026-03-02T10:08:54.729Z,83.45,ATM Withdrawal,Denver,Mastercard,Online,ATM Machine,false,false,0,,
TXN-000055,2025-12-16T13:40:00.729Z,339.19,Healthcare,Atlanta,Mastercard,Online,POS Terminal,false,false,0,,
TXN-000056,2025-12-16T13:30:24.729Z,105.22,Clothing,Tokyo,Amex,Online,POS Terminal,false,false,0,,
TXN-000057,2026-01-12T12:34:54.729Z,417.82,Online Shopping,Boston,Discover,Online,POS Terminal,false,false,0,,
TXN-000058,2026-02-11T11:15:57.729Z,18,Grocery,Chicago,Visa,ATM,POS Terminal,false,false,0,,
TXN-000059,2026-01-07T17:19:10.729Z,1712.26,Online Shopping,Chicago,Amex,ATM,Mobile App,false,false,1,,
TXN-000060,2026-02-15T04:21:20.729Z,58.12,Grocery,Seattle,Amex,ATM,Web Browser,false,false,0,,
TXN-000061,2026-01-24T13:48:07.729Z,106.16,Electronics,Houston,Visa,Contactless,Web Browser,false,false,0,,
TXN-000062,2026-01-12T16:13:01.729Z,156.84,ATM Withdrawal,Boston,Mastercard,Online,POS Terminal,false,false,0,,
TXN-000063,2026-02-09T13:01:19.729Z,287.15,Gas Station,Chicago,Amex,Contactless,Web Browser,false,false,0,,
TXN-000064,2025-12-16T01:33:36.729Z,416.41,Entertainment,Chicago,Amex,ATM,Mobile App,false,false,0,,
TXN-000065,2025-12-24T01:51:39.729Z,42.82,Entertainment,Lagos,Amex,Online,POS Terminal,false,false,0,,
TXN-000066,2026-01-05T00:42:19.729Z,250.73,Entertainment,Chicago,Mastercard,Contactless,ATM Machine,true,false,0,,
TXN-000067,2026-01-30T00:38:48.729Z,222.25,Travel,London,Discover,Online,Web Browser,false,false,0,,
TXN-000068,2026-01-18T11:49:53.729Z,442.01,Clothing,New York,Amex,ATM,ATM Machine,false,false,0,,
TXN-000069,2026-02-24T14:43:55.729Z,11.23,Grocery,Houston,Amex,Contactless,Web Browser,false,false,0,,
TXN-000070,2025-12-22T03:59:31.729Z,503.51,Entertainment,Denver,Amex,In-Store,Mobile App,false,false,0,,
TXN-000071,2025-12-26T14:09:44.729Z,153.92,Online Shopping,Miami,Visa,Contactless,Mobile App,true,false,0,,
TXN-000072,2025-12-29T00:42:16.729Z,263.79,Electronics,Tokyo,Visa,Online,Mobile App,false,false,0,,
TXN-000073,2026-02-22T11:59:28.729Z,428.16,Restaurant,Los Angeles,Amex,Online,POS Terminal,true,false,0,,
TXN-000074,2026-02-16T04:48:53.729Z,145.21,Clothing,Miami,Amex,Online,Mobile App,false,false,0,,
TXN-000075,2026-02-13T18:53:23.729Z,2838.81,Online Shopping,Dubai,Discover,Online,POS Terminal,true,false,1,,
TXN-000076,2026-02-06T09:09:37.729Z,50.69,Entertainment,Dubai,Mastercard,ATM,Mobile App,false,false,0,,
TXN-000077,2025-12-24T05:04:01.729Z,193.84,Electronics,Seattle,Mastercard,In-Store,Web Browser,false,false,0,,
TXN-000078,2026-01-12T08:06:27.729Z,411.78,Online Shopping,London,Mastercard,In-Store,POS Terminal,false,false,0,,
TXN-000079,2026-03-03T05:21:22.729Z,345.63,Electronics,Lagos,Discover,In-Store,POS Terminal,true,true,0,,
TXN-000080,2026-02-13T01:32:49.729Z,179.36,Online Shopping,Los Angeles,Mastercard,Contactless,Mobile App,true,false,0,,
TXN-000081,2026-01-01T05:56:28.729Z,227.29,Travel,San Francisco,Visa,In-Store,Web Browser,false,false,0,,
TXN-000082,2026-01-23T08:29:25.729Z,95.53,Grocery,Denver,Visa,ATM,ATM Machine,true,false,0,,
TXN-000083,2025-12-24T02:28:00.729Z,139.44,Entertainment,Seattle,Discover,ATM,Web Browser,false,false,0,,
TXN-000084,2025-12-24T07:31:32.729Z,194.27,Clothing,Tokyo,Amex,In-Store,ATM Machine,true,false,0,,
TXN-000085,2026-02-23T02:47:41.729Z,295.94,Grocery,Lagos,Mastercard,Contactless,Mobile App,false,false,0,,
TXN-000086,2026-02-04T21:23:25.729Z,32.94,Online Shopping,Lagos,Visa,Online,Web Browser,true,false,1,,
TXN-000087,2026-02-21T06:58:57.729Z,290.89,Clothing,Atlanta,Visa,ATM,ATM Machine,false,false,0,,
TXN-000088,2026-03-02T03:14:00.729Z,401.16,Clothing,Tokyo,Amex,Contactless,POS Terminal,true,false,0,,
TXN-000089,2026-01-29T06:43:52.729Z,159.21,Entertainment,Miami,Mastercard,ATM,Web Browser,false,false,0,,
TXN-000090,2026-01-18T16:27:34.729Z,29.1,Gas Station,Seattle,Amex,Contactless,ATM Machine,true,false,0,,
TXN-000091,2026-01-06T13:42:08.729Z,435.47,Travel,Dubai,Amex,Online,Mobile App,false,false,0,,
TXN-000092,2026-02-20T00:55:52.729Z,497.29,Gas Station,Houston,Amex,ATM,Web Browser,true,false,0,,
TXN-000093,2025-12-17T01:24:12.729Z,126.1,Electronics,Atlanta,Visa,Contactless,POS Terminal,false,true,0,,
TXN-000094,2026-02-02T18:34:10.729Z,1131.95,ATM Withdrawal,Houston,Visa,Online,POS Terminal,true,false,1,,
TXN-000095,2026-02-10T13:26:50.729Z,386.74,Electronics,Atlanta,Mastercard,ATM,POS Terminal,false,false,0,,
TXN-000096,2025-12-25T15:58:23.729Z,313.08,Clothing,Houston,Mastercard,Contactless,POS Terminal,false,false,0,,
TXN-000097,2025-12-09T03:24:07.729Z,355.76,ATM Withdrawal,Lagos,Visa,Online,Web Browser,false,false,0,,
TXN-000098,2025-12-16T13:49:33.729Z,60.53,Clothing,Los Angeles,Visa,Contactless,ATM Machine,false,false,0,,
TXN-000099,2026-03-05T04:03:51.729Z,382.93,Entertainment,Lagos,Discover,Contactless,ATM Machine,false,false,0,,
TXN-000100,2026-02-05T12:47:22.729Z,265.96,Online Shopping,Atlanta,Visa,Online,Web Browser,false,false,0,,
TXN-000101,2026-01-02T13:23:29.729Z,235.89,Clothing,Houston,Discover,Online,ATM Machine,true,false,0,,
TXN-000102,2026-03-03T12:35:24.729Z,59.65,Restaurant,San Francisco,Visa,Contactless,ATM Machine,false,false,0,,
TXN-000103,2025-12-29T13:36:20.729Z,251.02,Electronics,Miami,Visa,Online,POS Terminal,false,false,0,,
TXN-000104,2026-02-09T08:42:03.729Z,369.41,Restaurant,Dubai,Discover,Contactless,ATM Machine,false,false,0,,
TXN-000105,2026-01-03T01:31:16.729Z,343.22,Gas Station,Los Angeles,Mastercard,In-Store,POS Terminal,false,true,0,,
TXN-000106,2026-01-30T04:44:58.729Z,340.53,Healthcare,Seattle,Amex,Contactless,POS Terminal,true,false,0,,
TXN-000107,2026-02-04T12:41:44.729Z,368.17,Grocery,Chicago,Discover,Contactless,Mobile App,false,false,0,,
TXN-000108,2026-01-22T08:37:01.729Z,264.99,Restaurant,Miami,Mastercard,Online,Web Browser,false,false,0,,
TXN-000109,2025-12-31T03:55:25.729Z,187.76,Healthcare,Atlanta,Visa,ATM,ATM Machine,false,false,0,,
TXN-000110,2026-01-01T12:46:31.729Z,222.31,Electronics,New York,Mastercard,Online,POS Terminal,true,false,0,,
TXN-000111,2026-01-03T12:14:17.729Z,6761.7,Online Shopping,Miami,Amex,In-Store,POS Terminal,false,false,1,,
TXN-000112,2026-02-26T11:14:17.729Z,305.06,ATM Withdrawal,Chicago,Amex,In-Store,POS Terminal,false,false,0,,
TXN-000113,2026-02-19T15:44:37.729Z,31.28,Gas Station,New York,Amex,ATM,Web Browser,false,false,0,,
TXN-000114,2025-12-31T07:10:10.729Z,190.48,Travel,Houston,Mastercard,In-Store,Web Browser,false,false,0,,
TXN-000115,2025-12-23T10:11:51.729Z,226.57,Grocery,Seattle,Mastercard,Online,POS Terminal,false,false,0,,
TXN-000116,2026-02-11T12:47:51.729Z,197.85,Grocery,Dubai,Mastercard,In-Store,Web Browser,false,false,0,,
TXN-000117,2026-02-22T04:53:44.729Z,503.26,Gas Station,Atlanta,Visa,Online,Web Browser,false,false,0,,
TXN-000118,2025-12-30T06:03:00.729Z,231.72,Travel,Atlanta,Amex,ATM,ATM Machine,false,false,0,,
TXN-000119,2026-02-23T05:44:17.729Z,61.91,Clothing,San Francisco,Amex,Contactless,Mobile App,false,false,0,,
TXN-000120,2026-02-07T14:15:01.729Z,117.11,Restaurant,Denver,Visa,Contactless,Web Browser,false,false,0,,
TXN-000121,2026-01-18T05:12:48.729Z,337.67,Healthcare,Atlanta,Mastercard,Contactless,POS Terminal,false,false,0,,
TXN-000122,2026-03-07T07:27:29.729Z,332.73,Gas Station,Houston,Mastercard,Online,Web Browser,true,false,0,,
TXN-000123,2026-01-04T16:16:14.729Z,281.4,Travel,Chicago,Visa,Contactless,Web Browser,false,false,0,,
TXN-000124,2025-12-31T13:26:27.729Z,104.48,Restaurant,Lagos,Mastercard,ATM,POS Terminal,true,false,0,,
TXN-000125,2026-02-13T11:20:59.729Z,271.12,Online Shopping,San Francisco,Amex,ATM,Mobile App,true,false,0,,
TXN-000126,2026-02-09T09:13:27.729Z,482.66,Travel,Dubai,Discover,ATM,Web Browser,false,false,0,,
TXN-000127,2026-01-12T15:15:07.729Z,419.33,Online Shopping,Houston,Visa,Online,Web Browser,false,false,0,,
TXN-000128,2026-02-13T06:23:00.729Z,497.22,Electronics,Boston,Amex,Online,POS Terminal,true,false,0,,
TXN-000129,2026-01-12T09:32:28.729Z,377.76,Online Shopping,Boston,Visa,In-Store,ATM Machine,false,false,0,,
TXN-000130,2026-01-22T20:16:03.729Z,8.97,Online Shopping,Atlanta,Mastercard,ATM,Mobile App,true,true,1,,
TXN-000131,2026-01-05T03:49:40.729Z,461.95,ATM Withdrawal,Dubai,Discover,In-Store,Web Browser,false,false,0,,
TXN-000132,2026-03-03T02:35:06.729Z,331.95,Clothing,San Francisco,Discover,In-Store,Web Browser,false,false,0,,
TXN-000133,2026-02-06T18:15:02.729Z,29.43,Online Shopping,Chicago,Visa,Online,Web Browser,true,false,1,,
TXN-000134,2026-01-24T01:47:21.729Z,389.74,Electronics,Atlanta,Discover,In-Store,Mobile App,false,false,0,,
TXN-000135,2025-12-15T14:21:41.729Z,199.8,Electronics,Tokyo,Visa,In-Store,Mobile App,false,false,0,,
TXN-000136,2026-03-05T05:31:16.729Z,249.27,Electronics,Miami,Amex,ATM,Web Browser,false,false,0,,
TXN-000137,2026-01-16T21:46:21.729Z,9.4,Online Shopping,London,Amex,ATM,Mobile App,true,true,1,,
TXN-000138,2026-02-15T06:14:56.729Z,186.2,Grocery,San Francisco,Mastercard,ATM,Mobile App,false,false,0,,
TXN-000139,2026-01-26T09:57:27.729Z,229.31,Online Shopping,Los Angeles,Discover,Online,Web Browser,false,false,0,,
TXN-000140,2026-02-23T02:43:11.729Z,319.7,Healthcare,Tokyo,Mastercard,In-Store,Web Browser,false,false,0,,
TXN-000141,2026-02-17T15:54:16.729Z,316.93,Healthcare,London,Mastercard,Online,POS Terminal,true,false,0,,
TXN-000142,2026-02-20T03:53:41.729Z,104.67,ATM Withdrawal,Tokyo,Discover,ATM,Mobile App,false,false,0,,
TXN-000143,2026-01-25T14:23:46.729Z,491.25,Gas Station,New York,Visa,In-Store,POS Terminal,false,false,0,,
TXN-000144,2025-12-26T11:29:39.729Z,478.87,Online Shopping,Lagos,Amex,ATM,Web Browser,true,false,0,,
TXN-000145,2026-02-13T06:08:23.729Z,398.32,Online Shopping,Los Angeles,Discover,ATM,Web Browser,true,false,0,,
TXN-000146,2026-01-04T12:38:41.729Z,62.22,Gas Station,Miami,Amex,ATM,Mobile App,true,false,0,,
TXN-000147,2026-01-15T03:35:15.729Z,253.91,Healthcare,San Francisco,Mastercard,In-Store,Mobile App,false,false,0,,
TXN-000148,2025-12-31T01:29:58.729Z,357.92,Restaurant,Tokyo,Mastercard,Contactless,Mobile App,false,false,0,,
TXN-000149,2026-02-04T08:00:28.729Z,465.55,Restaurant,New York,Amex,Online,ATM Machine,false,false,0,,
TXN-000150,2026-02-12T10:32:18.729Z,435.86,Entertainment,Seattle,Visa,Online,POS Terminal,false,false,0,,
TXN-000151,2026-02-27T02:06:28.729Z,451.87,Healthcare,Lagos,Amex,In-Store,POS Terminal,false,false,0,,
TXN-000152,2026-01-22T12:03:37.729Z,67.36,Gas Station,New York,Discover,ATM,Mobile App,false,false,0,,
TXN-000153,2025-12-19T08:54:47.729Z,455.18,Healthcare,Tokyo,Discover,Contactless,Web Browser,true,false,0,,
TXN-000154,2025-12-26T10:46:56.729Z,132.72,Entertainment,London,Discover,ATM,POS Terminal,false,false,0,,
TXN-000155,2026-03-03T12:01:27.729Z,226.28,Electronics,London,Discover,Contactless,POS Terminal,false,false,0,,
TXN-000156,2026-02-24T03:39:10.729Z,460.4,Electronics,Chicago,Visa,ATM,Web Browser,false,false,0,,
TXN-000157,2026-01-16T03:25:14.729Z,225.3,Clothing,Boston,Mastercard,In-Store,Web Browser,false,false,0,,
TXN-000158,2025-12-17T10:39:35.729Z,409.5,Restaurant,Miami,Discover,Online,Mobile App,false,false,0,,
TXN-000159,2025-12-22T09:32:32.729Z,259.39,ATM Withdrawal,Chicago,Mastercard,ATM,ATM Machine,false,false,0,,
TXN-000160,2025-12-22T15:29:20.729Z,201.36,Electronics,San Francisco,Discover,Online,Mobile App,false,false,0,,
TXN-000161,2026-01-14T14:27:58.729Z,455.08,Gas Station,New York,Visa,ATM,ATM Machine,false,false,0,,
TXN-000162,2025-12-27T14:15:21.729Z,162.24,Gas Station,Boston,Discover,Online,Web Browser,true,false,0,,
TXN-000163,2025-12-13T16:11:06.729Z,461.16,ATM Withdrawal,San Francisco,Mastercard,Online,Mobile App,false,false,0,,
TXN-000164,2025-12-28T03:45:23.729Z,503.3,Electronics,Boston,Amex,Contactless,Mobile App,false,false,0,,
TXN-000165,2025-12-27T01:01:34.729Z,264.83,Healthcare,London,Mastercard,ATM,POS Terminal,false,false,0,,
TXN-000166,2026-01-24T11:44:45.729Z,60.88,ATM Withdrawal,Houston,Amex,ATM,POS Terminal,false,false,0,,
TXN-000167,2025-12-14T04:14:09.729Z,435.38,Entertainment,Miami,Amex,In-Store,Mobile App,false,false,0,,
TXN-000168,2025-12-24T21:30:18.729Z,7146.77,ATM Withdrawal,London,Discover,Online,ATM Machine,false,true,1,,
TXN-000169,2026-02-11T15:56:04.729Z,47.08,Grocery,Tokyo,Amex,In-Store,POS Terminal,false,false,0,,
TXN-000170,2025-12-28T03:19:23.729Z,24.1,Restaurant,Seattle,Discover,In-Store,ATM Machine,false,false,0,,
TXN-000171,2025-12-23T13:02:04.729Z,411.68,Grocery,New York,Visa,ATM,POS Terminal,false,false,0,,
TXN-000172,2025-12-09T06:04:58.729Z,386.96,Grocery,Chicago,Visa,In-Store,Web Browser,false,false,0,,
TXN-000173,2026-01-29T08:19:56.729Z,23.18,Entertainment,San Francisco,Discover,Contactless,Mobile App,false,false,0,,
TXN-000174,2026-02-16T01:52:53.729Z,178.38,Gas Station,New York,Discover,Online,ATM Machine,false,false,0,,
TXN-000175,2026-03-07T12:35:07.729Z,364.52,Gas Station,Los Angeles,Visa,Contactless,Web Browser,false,false,0,,
TXN-000176,2026-02-11T11:36:24.729Z,148.04,Online Shopping,Houston,Mastercard,Online,Web Browser,false,false,0,,
TXN-000177,2025-12-11T08:34:23.729Z,198.33,ATM Withdrawal,Dubai,Mastercard,ATM,ATM Machine,false,false,0,,
TXN-000178,2026-02-16T04:12:24.729Z,310.43,Restaurant,Los Angeles,Discover,In-Store,ATM Machine,false,false,0,,
TXN-000179,2026-03-07T05:03:54.729Z,110.72,Grocery,Los Angeles,Mastercard,Contactless,Mobile App,false,false,0,,
TXN-000180,2026-01-09T13:59:31.729Z,300.03,Grocery,Boston,Mastercard,Online,Mobile App,false,false,0,,
TXN-000181,2026-02-21T11:55:50.729Z,360.1,Entertainment,Atlanta,Discover,Online,Web Browser,false,false,0,,
TXN-000182,2026-01-17T11:12:03.729Z,398.09,Grocery,Houston,Discover,ATM,Web Browser,false,false,0,,
TXN-000183,2026-01-03T02:41:18.729Z,195.7,Clothing,Denver,Visa,In-Store,POS Terminal,false,false,0,,
TXN-000184,2026-01-21T09:51:58.729Z,87.22,Travel,Lagos,Amex,ATM,Mobile App,true,false,0,,
TXN-000185,2026-01-17T03:50:35.729Z,318.13,ATM Withdrawal,San Francisco,Mastercard,In-Store,Mobile App,false,false,0,,
TXN-000186,2025-12-22T08:40:27.729Z,105.08,Healthcare,Tokyo,Amex,ATM,ATM Machine,false,false,0,,
TXN-000187,2025-12-15T08:55:57.729Z,151.87,Gas Station,Lagos,Mastercard,Online,POS Terminal,false,false,0,,
TXN-000188,2026-01-06T12:31:47.729Z,115.88,Electronics,London,Mastercard,Online,POS Terminal,false,false,0,,
TXN-000189,2025-12-27T20:06:46.729Z,1304.07,ATM Withdrawal,Denver,Visa,ATM,Web Browser,true,false,1,,
TXN-000190,2026-02-27T06:43:11.729Z,50.47,Online Shopping,Seattle,Discover,ATM,Mobile App,false,false,0,,
TXN-000191,2026-01-19T19:50:39.729Z,49.7,ATM Withdrawal,Atlanta,Discover,ATM,ATM Machine,false,false,1,,
TXN-000192,2026-02-04T10:25:06.729Z,401.86,Gas Station,Denver,Amex,In-Store,Web Browser,false,false,0,,
TXN-000193,2026-02-06T13:30:38.729Z,116.76,Clothing,San Francisco,Mastercard,In-Store,ATM Machine,false,false,0,,
TXN-000194,2026-01-13T10:58:02.729Z,423.98,Grocery,London,Discover,Online,Web Browser,false,false,0,,
TXN-000195,2025-12-21T05:11:21.729Z,212.64,Online Shopping,Tokyo,Mastercard,Contactless,Mobile App,false,false,0,,
TXN-000196,2026-02-04T06:34:34.729Z,467.67,ATM Withdrawal,Los Angeles,Discover,Contactless,POS Terminal,true,false,0,,
TXN-000197,2026-02-14T04:27:09.729Z,165.76,Clothing,San Francisco,Discover,Online,Web Browser,false,false,0,,
TXN-000198,2026-01-26T01:40:23.729Z,238.93,Electronics,Boston,Amex,Online,ATM Machine,false,false,0,,
TXN-000199,2026-01-05T07:23:33.729Z,60.49,ATM Withdrawal,Boston,Visa,Contactless,Web Browser,false,false,0,,
TXN-000200,2026-02-23T14:29:58.729Z,450.45,Electronics,New York,Visa,ATM,Mobile App,false,false,0,,
TXN-000201,2025-12-11T09:03:37.729Z,298.05,Electronics,Seattle,Amex,Contactless,Web Browser,false,false,0,,
TXN-000202,2026-01-20T02:43:09.729Z,451.07,Travel,Seattle,Amex,Contactless,POS Terminal,false,false,0,,
TXN-000203,2026-02-14T12:37:43.729Z,356.53,Healthcare,Denver,Amex,In-Store,Web Browser,false,false,0,,
TXN-000204,2026-02-16T14:15:02.729Z,434.09,Grocery,Chicago,Visa,Online,ATM Machine,false,false,0,,
TXN-000205,2026-01-28T07:15:38.729Z,365.31,Entertainment,Denver,Amex,ATM,Web Browser,false,false,0,,
TXN-000206,2026-02-26T02:26:30.729Z,183.73,Grocery,Tokyo,Discover,Contactless,ATM Machine,false,false,0,,
TXN-000207,2026-02-02T14:00:36.729Z,214.56,Restaurant,Houston,Discover,In-Store,POS Terminal,false,false,0,,
TXN-000208,2026-01-19T10:57:06.729Z,292.32,Electronics,Denver,Discover,In-Store,ATM Machine,false,false,0,,
TXN-000209,2026-01-04T05:24:23.729Z,188.55,Healthcare,Seattle,Mastercard,Contactless,Mobile App,false,false,0,,
TXN-000210,2026-02-10T06:50:41.729Z,381.03,Healthcare,Dubai,Mastercard,Online,Mobile App,false,false,0,,
TXN-000211,2026-01-08T21:39:16.729Z,6523.55,Healthcare,Chicago,Mastercard,ATM,ATM Machine,false,true,1,,
TXN-000212,2026-03-07T14:55:39.729Z,152.81,Online Shopping,Atlanta,Amex,In-Store,POS Terminal,false,false,0,,
TXN-000213,2026-01-31T08:58:47.729Z,416.06,ATM Withdrawal,Seattle,Mastercard,Online,Web Browser,false,false,0,,
TXN-000214,2026-02-07T05:53:08.729Z,418.06,Clothing,Chicago,Visa,Online,Mobile App,false,false,0,,
TXN-000215,2026-01-16T01:57:42.729Z,401.02,Healthcare,Boston,Amex,In-Store,POS Terminal,false,false,0,,
TXN-000216,2026-01-09T02:15:36.729Z,351.79,Healthcare,Tokyo,Mastercard,Online,Mobile App,false,false,0,,
TXN-000217,2026-02-11T02:19:34.729Z,131.06,Clothing,New York,Visa,Contactless,POS Terminal,false,false,0,,
TXN-000218,2026-03-01T03:17:29.729Z,326.24,Online Shopping,Dubai,Mastercard,Contactless,POS Terminal,false,false,0,,
TXN-000219,2025-12-30T09:14:40.729Z,438.01,Gas Station,Tokyo,Mastercard,Online,POS Terminal,false,false,0,,
TXN-000220,2026-01-31T02:04:48.729Z,11.01,Clothing,London,Amex,Contactless,Web Browser,false,false,0,,
TXN-000221,2026-02-11T14:11:18.729Z,195,Clothing,New York,Amex,ATM,Mobile App,false,false,0,,
TXN-000222,2026-01-08T10:53:43.729Z,440.72,Gas Station,Boston,Discover,ATM,ATM Machine,false,false,0,,
TXN-000223,2026-01-19T10:20:34.729Z,360.09,Healthcare,Dubai,Visa,Contactless,Web Browser,true,false,0,,
