transaction_id,transaction_time,transaction_amount,merchant_category,location,card_type,transaction_type,device_type,is_international,previous_fraud,fraud_label
TXN000064,2026-01-15T20:02:06.234Z,195.57,Online,Paris,MasterCard,Online,Mobile,false,false,0
TXN000065,2026-02-15T05:40:15.285Z,600.88,Dining,New York,Amex,ATM,Mobile,false,false,0
TXN000066,2025-12-24T00:48:11.101Z,425.84,Utilities,Toronto,Amex,POS,Mobile,false,false,0
TXN000067,2025-12-23T11:02:38.662Z,572.19,Entertainment,Toronto,Discover,ATM,Mobile,true,false,0
TXN000068,2025-11-14T03:50:26.264Z,272.40,Utilities,Sydney,Discover,ATM,Desktop,false,false,0
TXN000069,2025-12-21T14:11:21.732Z,794.31,Groceries,New York,Visa,ATM,Tablet,false,false,0
TXN000070,2025-12-28T16:27:21.516Z,317.61,Travel,Paris,MasterCard,POS,Mobile,false,false,0
TXN000071,2025-12-29T23:52:09.502Z,1091.24,Utilities,Dubai,Discover,Online,Tablet,false,false,0
TXN000072,2025-12-02T18:47:40.971Z,503.57,Entertainment,Sydney,MasterCard,Online,Tablet,false,false,0
TXN000073,2025-11-24T13:24:57.690Z,329.87,Groceries,Berlin,Discover,POS,Desktop,false,false,0
TXN000074,2025-11-26T15:52:13.610Z,2522.64,Dining,London,Discover,POS,Tablet,false,true,1
TXN000075,2025-11-24T03:41:31.035Z,278.16,Utilities,Toronto,Visa,Online,Mobile,false,false,0
TXN000076,2026-01-26T03:11:40.348Z,1453.59,Online,London,Visa,Online,Tablet,false,false,0
TXN000077,2025-12-26T07:41:55.581Z,3984.08,Dining,Berlin,Amex,ATM,Tablet,true,true,1
TXN000078,2026-02-06T13:02:00.557Z,767.40,Travel,Berlin,Discover,ATM,Desktop,false,false,0
TXN000079,2026-03-04T16:52:56.439Z,186.65,Entertainment,Tokyo,MasterCard,ATM,Tablet,true,false,0
TXN000080,2025-12-02T14:42:50.517Z,591.05,Utilities,Tokyo,Discover,ATM,Tablet,false,false,0
TXN000081,2026-01-12T03:35:31.852Z,3489.66,Retail,Sydney,Amex,ATM,Tablet,false,false,1
TXN000082,2026-01-18T14:36:54.311Z,1462.81,Retail,Toronto,Amex,POS,Desktop,false,false,0
TXN000083,2025-11-21T04:21:17.132Z,950.74,Travel,Berlin,Amex,Online,Desktop,false,false,0
TXN000084,2026-03-02T06:47:01.805Z,743.93,Online,Sydney,Discover,ATM,Mobile,false,false,0
TXN000085,2026-01-28T16:27:18.093Z,471.68,Groceries,Toronto,Discover,ATM,Tablet,false,false,0
TXN000086,2026-01-01T21:21:39.848Z,241.92,Retail,Tokyo,Visa,POS,Desktop,false,false,0
TXN000087,2026-03-07T12:01:11.279Z,1103.68,Groceries,Paris,Visa,POS,Tablet,false,false,0
TXN000088,2025-12-24T03:20:19.254Z,295.24,Groceries,Paris,Amex,Online,Mobile,false,false,0
TXN000089,2025-12-19T01:12:59.802Z,160.00,Travel,Berlin,Visa,Online,Tablet,false,false,0
TXN000090,2025-12-27T21:57:24.348Z,1398.08,Groceries,Sydney,Amex,ATM,Tablet,false,false,0
TXN000091,2025-12-15T12:22:36.610Z,1303.73,Groceries,Sydney,Visa,POS,Tablet,true,false,0
TXN000092,2025-11-19T19:01:40.973Z,1383.64,Online,Tokyo,MasterCard,POS,Mobile,false,false,0
TXN000093,2026-01-31T19:57:06.841Z,253.12,Online,Sydney,Discover,POS,Tablet,false,false,0
TXN000094,2025-12-21T16:12:36.364Z,251.90,Entertainment,London,Visa,ATM,Tablet,false,false,0
TXN000095,2026-01-27T18:53:42.614Z,1368.44,Online,New York,MasterCard,POS,Mobile,false,false,0
TXN000096,2026-02-16T03:06:15.461Z,476.11,Retail,New York,Discover,Online,Desktop,false,false,0
TXN000097,2025-11-21T03:42:56.224Z,970.67,Entertainment,Toronto,Visa,POS,Desktop,false,false,0
TXN000098,2026-02-03T03:09:16.852Z,21.14,Groceries,Berlin,MasterCard,Online,Tablet,false,false,0
TXN000099,2025-12-18T03:27:17.015Z,1092.48,Retail,Sydney,Discover,Online,Desktop,true,false,0
TXN000100,2026-01-17T02:23:24.668Z,819.81,Dining,Paris,Amex,Online,Desktop,false,false,0
TXN000101,2025-12-26T15:54:13.288Z,490.31,Dining,Tokyo,Amex,Online,Mobile,true,false,0
TXN000102,2026-01-18T02:53:16.546Z,687.65,Groceries,Dubai,Amex,POS,Mobile,false,false,0
TXN000103,2026-01-15T03:45:12.376Z,786.04,Entertainment,Toronto,Visa,ATM,Tablet,false,false,0
TXN000104,2026-01-01T10:21:34.826Z,928.77,Online,New York,Amex,Online,Mobile,false,false,0
TXN000105,2025-12-25T19:51:15.881Z,761.52,Travel,Tokyo,Visa,Online,Mobile,false,false,0
TXN000106,2026-01-21T02:50:01.474Z,114.78,Retail,Berlin,MasterCard,POS,Mobile,false,false,0
TXN000107,2025-11-17T07:11:37.800Z,1403.81,Entertainment,Berlin,Amex,POS,Desktop,true,false,0
TXN000108,2025-11-16T12:18:33.728Z,1126.11,Retail,Sydney,Visa,Online,Mobile,true,true,0
TXN000109,2025-12-12T03:00:06.246Z,324.09,Groceries,Toronto,Discover,POS,Desktop,false,false,0
TXN000110,2025-12-18T06:12:22.771Z,454.28,Retail,Berlin,MasterCard,POS,Desktop,false,false,0
TXN000111,2025-12-03T20:07:02.744Z,1214.88,Groceries,Tokyo,Discover,ATM,Mobile,false,false,0
TXN000112,2026-02-10T16:44:59.708Z,429.64,Online,Toronto,Discover,ATM,Desktop,false,false,0
TXN000113,2026-01-23T13:23:24.559Z,658.32,Utilities,New York,Visa,Online,Tablet,false,false,0
TXN000114,2025-11-17T09:00:59.411Z,593.72,Groceries,Berlin,Visa,POS,Desktop,false,false,0
TXN000115,2025-11-28T00:21:59.928Z,935.40,Online,New York,Discover,POS,Mobile,false,false,0
TXN000116,2026-01-25T16:02:56.884Z,1269.53,Retail,Berlin,Visa,ATM,Tablet,true,false,0
TXN000117,2025-11-15T15:08:45.175Z,1153.58,Utilities,Toronto,MasterCard,Online,Tablet,false,true,0
TXN000118,2025-11-19T11:29:26.165Z,365.04,Groceries,Berlin,Visa,Online,Mobile,false,false,0
TXN000119,2026-03-03T10:14:31.229Z,136.14,Online,New York,Amex,ATM,Tablet,false,false,0
TXN000120,2026-01-15T04:35:36.005Z,121.51,Groceries,Sydney,Discover,ATM,Tablet,false,false,0
TXN000121,2025-12-24T13:58:51.032Z,418.19,Retail,New York,Discover,ATM,Tablet,false,false,0
TXN000122,2025-11-29T12:12:03.995Z,19.28,Retail,Berlin,Amex,POS,Mobile,false,false,0
TXN000123,2025-12-28T01:49:29.024Z,916.19,Travel,Sydney,Discover,Online,Tablet,false,false,0
TXN000124,2025-12-19T17:38:18.548Z,1051.79,Utilities,New York,MasterCard,ATM,Mobile,false,false,0
TXN000125,2025-12-24T11:13:17.248Z,609.40,Dining,Tokyo,Discover,POS,Desktop,false,false,0
TXN000126,2025-12-20T23:12:15.314Z,918.08,Dining,London,Amex,ATM,Desktop,false,false,0
TXN000127,2026-01-05T18:58:51.949Z,822.57,Retail,London,Visa,POS,Desktop,false,true,1
TXN000128,2026-01-27T12:48:36.255Z,400.84,Retail,Toronto,Discover,POS,Desktop,false,false,0
TXN000129,2025-11-25T04:29:58.002Z,1164.81,Entertainment,Paris,Visa,ATM,Mobile,false,false,0
TXN000130,2026-03-06T23:57:16.874Z,1318.58,Retail,Tokyo,Discover,ATM,Desktop,false,false,0
TXN000131,2026-03-07T22:25:32.738Z,1304.97,Dining,Sydney,MasterCard,POS,Desktop,true,false,0
TXN000132,2025-11-17T15:16:59.022Z,165.02,Online,Toronto,Visa,POS,Desktop,false,false,0
TXN000133,2026-02-07T01:43:40.225Z,670.36,Retail,Berlin,Amex,Online,Desktop,false,false,0
TXN000134,2025-11-27T01:16:36.198Z,1214.19,Entertainment,Toronto,Discover,POS,Desktop,false,false,0
TXN000135,2025-11-19T10:01:25.850Z,1494.29,Travel,Sydney,MasterCard,POS,Mobile,false,false,0
TXN000136,2026-02-03T16:01:13.259Z,1378.68,Retail,Dubai,Amex,ATM,Mobile,false,false,0
TXN000137,2026-02-08T16:36:42.177Z,1449.09,Entertainment,Dubai,Amex,ATM,Tablet,false,false,0
TXN000138,2025-12-27T23:39:36.775Z,1726.81,Retail,New York,Amex,POS,Desktop,false,false,1
TXN000139,2026-02-28T11:57:42.013Z,948.76,Dining,New York,Discover,ATM,Tablet,false,false,0
TXN000140,2025-12-11T21:17:30.138Z,353.63,Dining,Paris,Discover,POS,Mobile,false,false,0
TXN000141,2025-12-01T18:52:14.218Z,1238.34,Online,Tokyo,MasterCard,POS,Mobile,false,false,0
TXN000142,2026-02-16T15:52:52.073Z,338.28,Online,Sydney,MasterCard,POS,Mobile,false,false,0
TXN000143,2025-12-26T07:02:14.172Z,436.67,Online,Sydney,Amex,ATM,Mobile,false,false,0
TXN000144,2025-11-27T11:03:05.032Z,127.30,Online,Dubai,Discover,POS,Mobile,false,false,0
TXN000145,2025-12-08T05:02:32.781Z,825.84,Retail,New York,Amex,Online,Tablet,false,false,0
TXN000146,2026-02-26T15:31:52.133Z,1323.26,Entertainment,Dubai,Amex,Online,Mobile,false,false,0
TXN000147,2026-01-09T11:31:35.686Z,161.03,Utilities,Toronto,Visa,Online,Mobile,false,false,0
TXN000148,2026-02-18T04:47:33.213Z,300.87,Travel,Paris,Discover,Online,Desktop,false,false,0
TXN000149,2025-12-17T22:46:36.713Z,630.19,Utilities,Toronto,Visa,ATM,Tablet,false,false,0
TXN000150,2025-11-19T06:02:14.971Z,88.73,Dining,Paris,Discover,POS,Mobile,false,false,0
TXN000151,2025-12-15T17:40:20.441Z,579.94,Dining,New York,Discover,POS,Tablet,false,false,0
TXN000152,2026-03-03T06:20:12.068Z,911.30,Retail,Sydney,Visa,Online,Mobile,false,false,0
TXN000153,2025-12-13T23:15:39.527Z,572.92,Travel,London,MasterCard,Online,Mobile,false,false,0
TXN000154,2026-01-12T17:20:59.746Z,1339.07,Retail,New York,Visa,POS,Mobile,false,false,0
TXN000155,2025-12-23T23:58:10.143Z,143.11,Travel,London,Visa,POS,Mobile,false,false,0
TXN000156,2026-02-03T16:29:17.194Z,673.15,Entertainment,Sydney,MasterCard,Online,Desktop,false,false,0
TXN000157,2026-01-05T20:07:42.063Z,1287.88,Retail,London,Visa,ATM,Tablet,false,false,0
TXN000158,2025-12-10T23:28:29.250Z,992.72,Online,Tokyo,Amex,Online,Desktop,false,false,0
TXN000159,2026-02-17T03:10:24.465Z,1466.88,Retail,Paris,MasterCard,ATM,Desktop,true,false,0
TXN000160,2025-12-15T22:31:49.328Z,1357.82,Online,Berlin,Visa,ATM,Tablet,false,false,0
TXN000161,2026-02-14T12:58:50.375Z,634.89,Travel,London,MasterCard,POS,Tablet,false,false,0
TXN000162,2025-12-22T13:57:46.568Z,333.89,Groceries,New York,Visa,POS,Desktop,false,false,0
TXN000163,2025-12-28T08:39:48.436Z,662.69,Travel,New York,Amex,ATM,Mobile,false,false,0
TXN000164,2026-01-26T01:46:01.679Z,1230.11,Groceries,London,MasterCard,POS,Desktop,false,false,0
TXN000165,2026-02-14T19:21:52.903Z,472.83,Online,New York,Discover,ATM,Desktop,false,false,0
TXN000166,2026-02-20T19:43:31.060Z,453.02,Travel,Berlin,Discover,ATM,Mobile,false,false,0
TXN000167,2026-03-03T12:40:23.475Z,375.10,Groceries,Sydney,Discover,ATM,Desktop,false,false,0
TXN000168,2026-02-24T00:08:14.373Z,467.14,Retail,Dubai,MasterCard,POS,Tablet,true,false,0
TXN000169,2026-02-17T05:41:46.293Z,1193.59,Online,London,Visa,ATM,Desktop,true,false,0
TXN000170,2025-11-24T04:03:09.064Z,1092.28,Entertainment,Tokyo,Discover,POS,Desktop,true,false,0
TXN000171,2026-03-02T08:22:21.102Z,179.84,Groceries,Toronto,Discover,POS,Tablet,true,false,0
TXN000172,2025-12-19T22:47:24.212Z,320.66,Groceries,New York,MasterCard,ATM,Mobile,false,false,0
TXN000173,2026-01-16T20:32:17.319Z,572.12,Entertainment,Dubai,Amex,ATM,Mobile,true,false,0
TXN000174,2026-01-21T09:37:19.319Z,84.89,Groceries,Dubai,Visa,Online,Mobile,false,false,0
TXN000175,2026-02-06T06:50:37.144Z,1174.29,Dining,Sydney,Discover,Online,Mobile,false,false,0
TXN000176,2026-02-26T09:27:07.425Z,1118.53,Entertainment,Paris,Discover,ATM,Tablet,false,false,0
TXN000177,2026-02-08T06:49:01.435Z,515.98,Dining,Sydney,Amex,POS,Tablet,true,false,0
TXN000178,2025-11-24T00:35:36.169Z,4377.85,Utilities,Toronto,MasterCard,POS,Desktop,true,false,1
TXN000179,2025-12-23T19:19:19.534Z,939.21,Travel,Berlin,Amex,Online,Tablet,true,false,0
TXN000180,2026-03-08T08:59:38.030Z,1748.38,Utilities,Paris,Visa,ATM,Mobile,true,true,1
TXN000181,2026-01-14T09:28:26.913Z,291.92,Retail,Toronto,Discover,POS,Tablet,false,false,0
TXN000182,2025-11-17T03:14:16.255Z,205.84,Retail,London,Amex,Online,Tablet,false,false,0
TXN000183,2026-02-19T06:29:49.730Z,371.86,Online,London,Amex,ATM,Desktop,true,false,0
TXN000184,2026-02-12T19:43:48.829Z,586.54,Retail,Tokyo,Discover,POS,Mobile,false,false,0
TXN000185,2025-12-20T01:17:18.245Z,607.91,Groceries,Dubai,Amex,ATM,Desktop,true,false,0
TXN000186,2026-01-12T16:32:22.254Z,1338.65,Utilities,Paris,MasterCard,Online,Tablet,false,false,0
TXN000187,2026-02-06T04:42:32.558Z,589.51,Groceries,New York,Discover,Online,Mobile,false,false,0
TXN000188,2025-12-26T02:45:14.840Z,95.78,Groceries,New York,Visa,ATM,Tablet,false,false,0
TXN000189,2026-01-05T23:51:00.612Z,689.31,Groceries,Toronto,Visa,POS,Desktop,false,false,0
TXN000190,2026-03-03T18:16:29.980Z,606.32,Online,London,Visa,POS,Desktop,false,false,0
TXN000191,2026-02-02T20:21:22.789Z,1049.88,Online,Berlin,Visa,Online,Tablet,false,false,0
TXN000192,2026-02-08T08:12:32.170Z,21.61,Travel,Berlin,Visa,POS,Desktop,false,false,0
TXN000193,2025-12-23T11:38:19.194Z,1106.24,Entertainment,Toronto,Visa,Online,Mobile,false,false,0
TXN000194,2026-02-20T07:36:46.609Z,336.98,Dining,Dubai,Visa,ATM,Tablet,false,false,0
TXN000195,2025-11-30T06:56:59.150Z,256.16,Online,Tokyo,MasterCard,Online,Desktop,true,false,0
TXN000196,2025-12-12T02:30:29.409Z,1006.55,Utilities,Dubai,Visa,POS,Tablet,false,false,0
TXN000197,2026-01-07T21:04:19.589Z,324.77,Online,Berlin,Discover,Online,Tablet,false,false,0
TXN000198,2026-01-24T05:07:14.113Z,1295.24,Groceries,Paris,Visa,Online,Mobile,false,false,0
TXN000199,2026-01-14T19:40:14.042Z,497.76,Online,Tokyo,Discover,ATM,Mobile,false,false,0
TXN000200,2026-03-06T04:21:18.813Z,607.60,Utilities,Berlin,Discover,ATM,Mobile,false,false,0
TXN000201,2025-11-19T13:40:49.582Z,1001.15,Entertainment,Dubai,Amex,POS,Tablet,false,false,0
TXN000202,2026-01-14T13:37:12.240Z,597.80,Groceries,Tokyo,MasterCard,POS,Mobile,true,false,1
TXN000203,2026-03-01T07:17:17.878Z,216.15,Utilities,Tokyo,MasterCard,Online,Mobile,false,false,0
TXN000204,2026-02-06T22:34:20.314Z,466.24,Retail,Dubai,Discover,Online,Desktop,true,false,0
TXN000205,2026-02-20T05:13:54.023Z,1392.54,Online,New York,Discover,Online,Tablet,false,false,0
TXN000206,2025-12-09T15:11:16.131Z,367.42,Dining,Paris,MasterCard,POS,Tablet,false,false,0
TXN000207,2026-03-05T02:05:18.019Z,1289.91,Entertainment,Sydney,Discover,Online,Tablet,false,false,0
TXN000208,2026-02-13T09:17:39.855Z,217.44,Dining,New York,Discover,POS,Mobile,false,false,0
TXN000209,2026-02-28T17:25:10.809Z,37.25,Travel,Tokyo,Discover,POS,Tablet,false,false,0
TXN000210,2026-01-08T04:01:01.802Z,784.10,Dining,Berlin,Amex,Online,Mobile,false,false,0
TXN000211,2025-12-30T22:15:03.216Z,718.09,Dining,Tokyo,MasterCard,Online,Mobile,false,false,0
TXN000212,2026-01-02T17:27:01.560Z,845.34,Online,Toronto,Discover,ATM,Desktop,true,false,0
TXN000213,2026-02-25T16:51:01.248Z,999.13,Travel,New York,MasterCard,ATM,Mobile,true,false,0
TXN000214,2026-01-25T05:02:37.720Z,1345.59,Dining,New York,MasterCard,Online,Tablet,false,false,0
TXN000215,2025-12-19T20:34:11.230Z,467.77,Entertainment,Tokyo,Amex,POS,Tablet,false,false,0
TXN000216,2025-12-27T08:53:27.851Z,1372.75,Online,Toronto,Discover,ATM,Desktop,false,false,0
TXN000217,2026-01-15T16:41:36.570Z,411.91,Utilities,Dubai,Discover,Online,Desktop,false,false,0
TXN000218,2026-01-17T13:48:56.173Z,298.86,Utilities,Berlin,Visa,ATM,Mobile,false,false,0
TXN000219,2025-12-15T15:01:21.288Z,1026.77,Utilities,Berlin,Discover,ATM,Mobile,true,false,0
TXN000220,2025-12-18T11:14:00.629Z,992.41,Online,London,Discover,Online,Tablet,false,false,0
TXN000221,2025-11-16T05:35:21.325Z,1423.27,Retail,Tokyo,MasterCard,POS,Mobile,false,false,0
TXN000222,2026-03-04T20:01:29.443Z,351.37,Groceries,Tokyo,Amex,POS,Tablet,false,false,0
TXN000223,2026-02-22T17:15:36.315Z,246.67,Retail,Sydney,Amex,Online,Desktop,false,false,0
TXN000224,2026-01-05T01:08:30.229Z,224.60,Dining,Berlin,Discover,POS,Tablet,false,false,0
TXN000225,2026-01-16T00:15:37.931Z,58.68,Retail,New York,Visa,ATM,Desktop,false,false,0
TXN000226,2026-03-06T11:03:11.137Z,1034.32,Travel,Sydney,Discover,ATM,Mobile,false,false,0
TXN000227,2026-03-05T19:34:12.712Z,967.11,Travel,London,Visa,ATM,Desktop,false,false,0
TXN000228,2025-12-26T16:27:08.429Z,652.99,Groceries,Dubai,Visa,Online,Mobile,false,false,0
TXN000229,2025-12-14T13:45:27.317Z,46.28,Groceries,Berlin,MasterCard,POS,Tablet,false,false,0
TXN000230,2026-03-02T23:44:40.512Z,441.54,Online,Tokyo,Discover,ATM,Mobile,false,false,0
TXN000231,2026-02-17T14:36:11.791Z,850.49,Online,Toronto,Visa,Online,Desktop,false,false,0
TXN000232,2025-12-14T04:08:01.952Z,786.21,Utilities,New York,MasterCard,POS,Tablet,false,false,0
TXN000233,2026-02-16T10:32:21.454Z,1501.98,Utilities,Tokyo,MasterCard,ATM,Desktop,false,false,0
TXN000234,2025-12-25T05:03:00.964Z,344.22,Retail,New York,MasterCard,ATM,Mobile,false,false,0
TXN000235,2025-11-20T04:09:08.009Z,436.56,Retail,Sydney,MasterCard,POS,Mobile,true,false,0
TXN000236,2026-01-13T04:06:14.069Z,330.29,Retail,Toronto,Discover,Online,Mobile,false,false,0
TXN000237,2026-01-01T07:02:22.479Z,554.20,Online,Paris,Discover,POS,Mobile,false,false,0
TXN000238,2026-02-10T05:58:13.796Z,98.93,Retail,Sydney,Discover,POS,Mobile,true,false,0
TXN000239,2026-03-05T05:21:36.256Z,931.42,Entertainment,Tokyo,Discover,Online,Mobile,false,false,0
TXN000240,2026-03-06T15:27:14.167Z,244.19,Groceries,Dubai,Discover,ATM,Mobile,true,false,0
TXN000241,2026-01-31T06:29:04.916Z,1425.08,Groceries,New York,Visa,POS,Mobile,false,false,0
TXN000242,2026-03-06T07:05:23.261Z,759.91,Utilities,Tokyo,Visa,Online,Desktop,false,false,0
TXN000243,2026-01-22T03:13:22.664Z,992.43,Utilities,Dubai,Amex,Online,Mobile,false,false,0
TXN000244,2026-02-15T05:49:34.120Z,1385.92,Dining,Tokyo,Visa,POS,Mobile,false,false,0
TXN000245,2025-12-23T11:21:36.825Z,1500.25,Travel,New York,Visa,ATM,Desktop,false,false,0
TXN000246,2026-01-23T16:00:30.816Z,975.08,Utilities,Tokyo,Discover,POS,Tablet,false,false,0
TXN000247,2026-02-08T11:04:37.219Z,635.50,Utilities,Sydney,Amex,ATM,Mobile,false,false,0
TXN000248,2026-02-13T00:50:31.865Z,151.41,Entertainment,Berlin,MasterCard,POS,Mobile,false,false,0
TXN000249,2026-02-10T19:07:01.233Z,527.67,Groceries,Tokyo,Visa,ATM,Mobile,false,false,0
TXN000250,2025-12-07T14:08:06.712Z,951.85,Travel,Sydney,Visa,ATM,Desktop,false,false,0
TXN000251,2026-03-04T13:28:54.696Z,841.66,Travel,Sydney,Amex,POS,Mobile,true,false,1
TXN000252,2025-11-26T18:46:24.670Z,20.36,Travel,Paris,Visa,ATM,Desktop,false,false,0
TXN000253,2026-02-25T07:39:06.096Z,1409.18,Dining,Dubai,Visa,POS,Mobile,false,false,0
